filename,deviation_score,lane_centroid_x_cropped_px,num_detected_lines,avg_line_slope_deg,avg_line_length_px,avg_line_x_at_bottom_px,avg_line_x_at_top_px,final_mask_white_pixels,final_mask_centroid_x_px,final_mask_centroid_y_px
00420478.png,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
00420523.png,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
00420564.png,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
00420604.png,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
00420644.png,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
00420684.png,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
00420725.png,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
00420765.png,0.0,0.0,0,0.0,0.0,0.0,0.0,146,951.0,3.0
00420803.png,-0.9107638888888889,171.33333333333334,9,-4.7971204287299045,90.80158131959574,-2676.1349206349205,4806.583994708995,2291,180.0,172.0
00420841.png,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
00420878.png,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
00420915.png,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
00420952.png,-0.9287566489361703,136.7872340425532,47,-5.8743918249432765,136.55966622956433,-309.668204566709,774.0745556790807,6194,140.0,143.0
00420989.png,0.0,0.0,0,0.0,0.0,0.0,0.0,42,797.0,15.0
00421026.png,-0.7899816176470588,403.2352941176471,17,-12.389460704659465,73.38453372509346,-657.3834210216843,822.0228280729538,2627,613.0,61.0
00421063.png,0.0,0.0,0,0.0,0.0,0.0,0.0,307,1862.0,36.0
00421100.png,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
00421137.png,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
00421175.png,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
00421214.png,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
00421255.png,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
00421296.png,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
00421337.png,0.0,0.0,0,0.0,0.0,0.0,0.0,9,1738.0,43.0
00421379.png,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
00421420.png,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
00421461.png,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
00421502.png,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
00421543.png,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
