filename,is_line_detected,centroid_x_cropped,centroid_y_cropped,deviation_score,num_line_segments,total_line_pixel_length,avg_line_angle_deg,std_line_angle_deg,min_line_y_cropped,max_line_y_cropped,fitted_line_slope_deg,fitted_line_x_intercept_at_bottom_cropped,fitted_line_x_intercept_at_top_cropped
00420478.png,0,-1.0,-1.0,,0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0
00420523.png,0,-1.0,-1.0,,0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0
00420564.png,0,-1.0,-1.0,,0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0
00420604.png,0,-1.0,-1.0,,0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0
00420644.png,0,-1.0,-1.0,,0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0
00420684.png,0,-1.0,-1.0,,0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0
00420725.png,0,-1.0,-1.0,,0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0
00420765.png,1,524.5,295.5,-0.7268229166666667,1,173.02600960549256,-0.9934688562825819,0.0,294.0,297.0,-0.9934688562825612,-9192.333333333532,17565.00000000036
00420803.png,1,1053.2,192.1,-0.4514583333333333,10,3004.1515894734553,-16.58316613127701,9.752401353554278,80.0,337.0,-9.501212053634339,-571.3992079275977,2200.9951741187633
00420841.png,1,1360.625,132.04166666666666,-0.2913411458333333,12,3719.638265101386,-21.121811134930873,0.3198847533695622,42.0,244.0,-21.24324851331668,506.6976935684312,1700.2880644008599
00420878.png,1,1353.3846153846155,121.23076923076923,-0.29511217948717944,13,3820.248711863597,-19.67288168118844,1.063968122925884,44.0,225.0,-20.21345510119752,422.43981103946265,1682.6415749106382
00420915.png,1,3212.3333333333335,31.61111111111111,0.6730902777777779,18,3670.084151713505,-8.040603947533654,5.167279023021052,0.0,196.0,-3.4245870063628874,-4013.223986916125,3740.5797826744547
00420952.png,1,704.25,201.25,-0.633203125,2,369.7241698789514,-13.345564667305073,2.446838861552213,179.0,235.0,-13.558218641965606,-385.30411264703577,1538.7800291920673
00420989.png,1,1390.0,132.64705882352942,-0.2760416666666667,17,4371.1908559867825,-20.655370152884124,0.498067797538631,38.0,283.0,-21.70750713123625,557.6642889745192,1723.2002535704705
00421026.png,1,1024.875,129.5,-0.4662109375,4,1407.895393014196,-11.025115860216243,11.025122938430748,15.0,412.0,-0.44360591270868593,-42178.01013362744,17750.655642166676
00421063.png,1,1120.2727272727273,134.27272727272728,-0.41652462121212125,11,2462.604508023149,19.81648032431383,17.161369215400253,28.0,282.0,6.966864031018793,3818.585973812208,21.455891006166297
00421100.png,0,-1.0,-1.0,,0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0
00421137.png,1,1137.45,114.35,-0.40757812499999996,10,1905.2891022012673,80.06329126582092,1.7863864365965212,11.0,231.0,73.83607891303467,1238.794002048934,1104.306323082238
00421175.png,1,1380.2,256.025,-0.2811458333333333,20,4640.316285319502,-35.713165599355186,7.571308745268779,41.0,341.0,4.432528024491944,4063.1628468372855,-1922.6275651473354
00421214.png,0,-1.0,-1.0,,0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0
00421255.png,1,1799.1,76.2,-0.06296875000000005,5,1013.8676770101386,19.951722724267345,0.09054385203472148,39.0,115.0,19.927679700650117,2868.7707925768523,1588.9171366829394
00421296.png,1,1689.2727272727273,149.45454545454547,-0.12017045454545455,11,2682.6121618487714,31.07788238027429,0.2868396466342425,79.0,221.0,30.98444186199006,2213.086407157091,1440.385533709176
00421337.png,0,-1.0,-1.0,,0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0
00421379.png,1,1955.6470588235295,162.23529411764707,0.018566176470588284,17,4355.670881567833,34.72493305234868,4.275460403710235,36.0,254.0,33.69539992834912,2408.2028553360383,1712.3431822579353
00421420.png,1,1556.6521739130435,131.32608695652175,-0.18924365942028984,23,5100.6001143837875,63.09523703839478,52.63856469922321,0.0,302.0,67.88842946739632,1691.8153068792187,1503.2952840059236
00421461.png,1,1740.628205128205,218.21794871794873,-0.09342280982905986,39,14442.478375032362,-55.91643847139474,3.021846809524003,0.0,381.0,-55.61160066783577,1572.4108064124496,1889.9802651950183
00421502.png,1,1842.0151515151515,186.27272727272728,-0.04061710858585859,33,8261.790799515002,-62.57117876131045,1.2912251110938233,0.0,318.0,-62.8635269800149,1699.6717631935398,1937.4853978886301
00421543.png,1,1872.0,171.8548387096774,-0.025,31,9259.595407411143,-67.39236534951972,1.0524116948192406,0.0,315.0,-67.06665638230442,1748.3926505403915,1944.7122126921054
00421584.png,1,1922.8695652173913,209.56521739130434,0.0014945652173912786,23,4882.320394588589,-69.9279475901846,47.20401233266132,73.0,320.0,-76.61197840468319,1862.3108589050971,1972.748745741189
00421625.png,0,-1.0,-1.0,,0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0
00421666.png,1,1960.5,188.0,0.02109375,1,256.71969149249145,78.99645914825051,0.0,62.0,314.0,78.99645914825035,2014.166666666667,1923.9444444444434
00421707.png,0,-1.0,-1.0,,0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0
00421748.png,1,1624.9375,169.6875,-0.15367838541666667,24,5730.147620110092,34.61683873049816,9.287111813519193,41.0,300.0,33.38795790542486,2071.4900286322663,1367.4751693063067
00421789.png,1,1759.4285714285713,197.14285714285714,-0.08363095238095243,7,1520.7890130468475,59.32907766376632,5.944734708078042,89.0,297.0,57.5102920331779,1929.3679381884251,1633.8844996252537
00421830.png,1,2780.0333333333333,121.88333333333334,0.44793402777777774,30,7561.421680268569,-10.121755349969295,57.94366618198525,2.0,339.0,-7.976591997365146,338.50957656567823,3649.8566505858234
00421871.png,1,1168.7407407407406,149.03703703703704,-0.3912808641975309,27,6769.516863335672,11.825230145464618,9.89251143474461,81.0,275.0,4.914115660556979,4832.0198970928595,-564.6829804682109
00421912.png,1,151.24418604651163,239.7906976744186,-0.9212269864341085,43,10739.92065046283,18.46759345043809,84.95365203651517,59.0,414.0,-30.039715957724077,-236.47679805491484,565.909787858545
00421953.png,1,822.2205882352941,317.4852941176471,-0.5717601102941177,34,13869.497725248311,-32.58928794642418,1.8214332193750291,120.0,444.0,-32.46853817613596,591.9596448053618,1321.177078018372
00421994.png,1,1385.0555555555557,177.55555555555554,-0.2786168981481481,18,6121.4476043268605,-23.753848417064354,0.3883101267208689,83.0,250.0,-24.120064719520126,745.3021360789351,1781.6133384584398
00422034.png,1,1567.6875,227.47916666666666,-0.18349609375,24,9311.567500049401,-30.191204307901426,0.49152608977648593,63.0,328.0,-30.327983658480786,1163.3840423499478,1956.5353335313055
00422073.png,0,-1.0,-1.0,,0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0
00422112.png,1,1002.75,93.875,-0.477734375,4,650.1844187561176,-0.95365856421412,0.9595645022288768,88.0,97.0,-1.0884818193483283,-18477.638868205406,5943.571357656959
00422150.png,1,1042.04,152.86,-0.45727083333333335,25,6061.052135555364,-42.22320568952841,38.92339244535482,0.0,416.0,6.140023705459727,3934.327609532474,-378.91225298301254
00422187.png,1,1827.202380952381,249.6547619047619,-0.04833209325396825,42,12661.517667005679,-76.42959845057501,35.64057895239883,0.0,414.0,-79.41980486020726,1787.1654404831752,1873.834687455004
00422224.png,1,1751.390625,214.921875,-0.0878173828125,32,8415.647698346895,-31.288070749952006,66.59816422206491,18.0,425.0,3.625290853996454,5682.682203209532,-1640.800307706363
00422261.png,1,1829.611111111111,215.76388888888889,-0.04707754629629631,36,7350.182362223822,69.64369773039155,27.883516310016137,3.0,428.0,-2.671952362434564,-3489.5591418200474,6452.970920840063
00422297.png,1,1610.1125,166.95,-0.16139973958333337,40,10491.710331393591,49.377799235219825,43.641688251184554,12.0,385.0,-0.34962224376884293,-47069.570682234786,28969.38907725667
00422334.png,1,506.6666666666667,252.65384615384616,-0.736111111111111,39,7386.429639534668,-14.160396990386984,22.602997242898272,57.0,338.0,-4.521254482125383,-2166.0645074685012,3701.784243171477
00422371.png,1,902.1428571428571,162.60714285714286,-0.5301339285714286,14,4665.70664847443,-13.443474658373967,1.5731428593832761,73.0,360.0,-11.339447385844446,-600.7951108568776,1713.0062969227827
00422408.png,1,2066.7,153.63333333333333,0.07640624999999991,15,3533.318260585392,-20.487046083797633,16.01703197861823,44.0,354.0,-5.863633457092859,-955.4150362374169,3562.664794546048
00422445.png,1,1990.96,261.02,0.03695833333333335,25,7136.69338987402,-30.244650343344937,3.5515573221770187,139.0,356.0,-29.888348787870324,1637.8007935100477,2445.1013739186474
00422482.png,1,3527.8709677419356,279.5806451612903,0.8374327956989248,31,8335.769890035543,-16.24129179291731,2.3518853158308866,205.0,383.0,-15.07219790250879,2843.0614229192943,4566.045591666697
00422519.png,1,3306.1875,265.1375,0.72197265625,40,13180.32001909073,33.82532068458487,9.06026974659388,60.0,439.0,35.44665400496854,3585.5322258171464,2933.745424488808
00422557.png,1,2514.823529411765,215.23529411764707,0.3098039215686275,17,3595.9257683780224,67.40120969004354,1.012457156188279,105.0,328.0,67.1845097264615,2619.4737311666904,2424.2784624405463
00422596.png,1,2351.9285714285716,194.64285714285714,0.2249627976190477,7,2227.7021699042557,40.69363384868725,1.758314344872165,68.0,311.0,40.489233084617275,2667.4252991683175,2123.9443277025553
00422635.png,0,-1.0,-1.0,,0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0
00422675.png,1,3052.1428571428573,82.14285714285714,0.5896577380952382,7,1265.8276415729074,-20.18344112049412,42.78615654845793,10.0,334.0,-6.957093677950164,-77.20569262824331,3725.309866539932
00422717.png,1,1854.9166666666667,238.45833333333334,-0.03389756944444441,24,7114.841999336605,-39.994566658804324,4.60595080651109,98.0,370.0,-39.52880317333034,1581.5928114520211,2143.8936523295906
00422758.png,1,2114.7837837837837,228.52702702702703,0.10144988738738737,37,9123.484157417406,-43.00441048725188,14.589917228679695,36.0,382.0,-35.079070679234206,1779.4793441584936,2440.1974640422227
00422799.png,1,2264.0263157894738,167.10526315789474,0.17918037280701757,19,4418.689974427699,-32.13641182589528,14.816801917253773,20.0,338.0,-26.064778065357142,1657.0445799135637,2605.662020701017
00422840.png,1,2247.3703703703704,199.77777777777777,0.17050540123456795,27,7192.339193873736,-79.79524820907994,2.003248251899956,14.0,337.0,-76.88045931418978,2185.788932998061,2293.931944968943
00422881.png,1,2153.6935483870966,199.40322580645162,0.12171538978494614,31,10433.87151636391,53.36717172325343,1.2410886271457513,20.0,341.0,53.406592207905035,2350.1532245333556,2005.639237128565
00422922.png,0,-1.0,-1.0,,0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0
00422963.png,0,-1.0,-1.0,,0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0
00423003.png,0,-1.0,-1.0,,0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0
00423044.png,0,-1.0,-1.0,,0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0
00423084.png,0,-1.0,-1.0,,0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0
00423122.png,0,-1.0,-1.0,,0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0
00423161.png,0,-1.0,-1.0,,0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0
00423199.png,0,-1.0,-1.0,,0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0
00423238.png,0,-1.0,-1.0,,0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0
00423279.png,0,-1.0,-1.0,,0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0
00423320.png,0,-1.0,-1.0,,0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0
